room_type_Entire home/apt,amenities,bathrooms,number_of_reviews,accommodates,review_scores_rating,bedrooms,host_response_rate,city_SF,beds,city_LA,host_identity_verified_t,cleaning_fee,instant_bookable_t,room_type_Private room,city_DC,property_type_House,cancellation_policy_strict,cancellation_policy_flexible,city_Chicago,city_NYC,cancellation_policy_moderate,property_type_Apartment,property_type_Condominium,property_type_Loft,bed_type_Real Bed,property_type_Townhouse,property_type_Other,property_type_Bed & Breakfast,bed_type_Futon
,248,,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,447,,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,417,,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,244,,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,196,,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,637,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,253,,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,443,,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,490,,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,135,,97.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,305,,194.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,198,,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,334,,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,393,,132.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,115,,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,157,,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,391,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,339,,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,341,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,384.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,349,,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,488,,116.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,481,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,90,,148.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,128,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,96,,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,254,,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,270,,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,276,,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,,145.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,581,,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,467,,258.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,281,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,346,,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,494,,155.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,236,,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,207,,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,275,,267.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,238,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,,207.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,154,,242.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,434,,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,263,,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,315,,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,180,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,269,,92.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,595,,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,91,,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,227,,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,416,,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,179,,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,141,,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,300,,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,104,,290.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,375,,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,231,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,251,,425.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,318,,185.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,436,,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,401,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,127,,162.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,301,,360.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,160,,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,185,,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,186,,141.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,283,,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,62,,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,394,,195.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,213,,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,320,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,444,,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,366,,305.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,306,,351.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,237,,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,265,,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,376,,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,422,,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,217,,317.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,267,,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,396,,336.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,291,,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,458,,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,352,,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,361,,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,331,,278.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,326,,383.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,364,,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,216,,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,310,,203.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,433,,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,335,,115.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,344,,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,255,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,577,,256.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,455,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,192,,323.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,409,,465.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,383,,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,466,,469.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,145,,124.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,173,,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,257,,170.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,387,,480.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,345,,287.0,,,,,,,,,,,,,,,,,,,,,,,,,,
